中央机构,地市级政府,区县级政府,乡镇级政府,村委会,居委会,街道办,公安机关,公证处,法院,司法局,检察院,消防局,工商局,税务局,财政局,民政局,交管局,电信局,测绘院/勘测院/规划院,海关,"委,办,局",档案馆,产权交易中心,涉外机构,驻地机构,党派团体,福利机构
,,,桃源街道综治信访维稳中心,,,,深圳市西乡派出所,,,,,,,,,,,,,,,,,,,景丽花园社区计生协,
,,,香蜜湖街道综治信访维稳中心,,,,深圳市文锦渡公路规费征稽所,,,,,,,,,,,,,,,,,,,九三学社深圳市委员会,
,,,西乡镇处理历史遗留违法私房及生产经营性违法建筑办公室(流塘路),,,,深圳市文锦渡公路规费征稽所,,,,,,,,,,,,,,,,,,,景丽花园社区老年人协会,
,,,西乡街道农村城市化历史遗留违法建筑信息普查工作办公室,,,,深圳市福永派出所,,,,,,,,,,,,,,,,,,,景田社区计划生育协会,
,,,西乡街道清理整治无证无照非法经营工作队,,,,深圳市交通运输行政执法支队宝安大队福永中队,,,,,,,,,,,,,,,,,,,景丽花园社区计生协,
,,,西乡街道水务管理中心,,,,深圳市公安局宝安特勤福永中队,,,,,,,,,,,,,,,,,,,景田社区老年人协会,
,,,新安街道处理历史遗留违法私房及生产经营性违法建筑办公室,,,,深圳市宝安区交警大队福永中队,,,,,,,,,,,,,,,,,,,景丽花园社区残疾人联合协会,
,,,新安街道办事处查处违法建筑办公室,,,,深圳市文锦渡公路规费征稽所,,,,,,,,,,,,,,,,,,,景丽花园社区科协,
,,,新安街道安全生产监督管理办公室,,,,深圳市文锦渡公路规费征稽所,,,,,,,,,,,,,,,,,,,景丽花园社区计生协,
,,,新安街道城市管理办公室,,,,深圳市文锦渡公路规费征稽所,,,,,,,,,,,,,,,,,,,锦龙社区社会捐助接收工作点(福田区锦龙社区健康服务中心西),
,,,新安街道办事处国有土地地政监察协管队,,,,深圳市公安局,,,,,,,,,,,,,,,,,,,建中社区计划生育协会,
,,,新安街道办事处安全生产委员会,,,,深圳市公安局出入境管理处,,,,,,,,,,,,,,,,,,,建中社区工会委员会,
,,,新安街道环境保护管理所,,,,深圳市沙河派出所,,,,,,,,,,,,,,,,,,,建中社区老年人协会,
,,,西乡街道城市管理行政执法队,,,,深圳市福强派出所,,,,,,,,,,,,,,,,,,,金源大厦业主委员会,
,,,西乡镇人民政府,,,,深圳市公安局东深分局,,,,,,,,,,,,,,,,,,,锦龙社区社会捐助接收工作点(福田区锦龙社区健康服务中心西),
,,,西乡街道城市管理行政执法队,,,,深圳市公安城管民政联合执法大队,,,,,,,,,,,,,,,,,,,君子布社区青少年联合会,
,,,西乡街道环境综合治理办公室,,,,深圳市公安局交警支队交通科技处,,,,,,,,,,,,,,,,,,,建中社区归国华侨联络处,
,,,西乡街道办事处,,,,深圳市公安局交警支队车管所,,,,,,,,,,,,,,,,,,,金地社区工作站工会联合会,
,,,西乡计划生育办公室,,,,松坪山派出所,,,,,,,,,,,,,,,,,,,江岭村远香经济合作社,
,,,新安街道办事处,,,,松坪山社区东警务室,,,,,,,,,,,,,,,,,,,嘉音包装机械(深圳)有限公司工会基层委员会,
,,,新安街道处理历史遗留违法私房及生产经营性违法建筑办公室,,,,深圳市公安局福田分局,,,,,,,,,,,,,,,,,,,甲子塘社区残疾人协会,
,,,新安街道农村城市化历史遗留违法建筑信息普查工作办公室,,,,深圳市公安局福田分局出入境办证大厅(西门),,,,,,,,,,,,,,,,,,,甲子塘社区老年人协会,
,,,新安街道处理历史遗留违法私房及生产经营性违法建筑办公室,,,,深圳市公安局福田分局信访办公室,,,,,,,,,,,,,,,,,,,建中社区妇代会,
,,,西乡街道环境综合治理办公室,,,,深圳市公安局福田分局,,,,,,,,,,,,,,,,,,,建中社区残疾人协会,
,,,西乡街道城市管理行政执法队,,,,深圳市公安局福田分局出入境办证大厅(西门),,,,,,,,,,,,,,,,,,,建中社区社会捐助接收工作点,
,,,西乡镇处理历史遗留违法私房及生产经营性违法建筑办公室(流塘路),,,,深圳市公安局福田分局信访办公室,,,,,,,,,,,,,,,,,,,建中社区妇代会,
,,,新安街道办事处国有土地地政监察协管队,,,,深圳市公安局塘朗派出所,,,,,,,,,,,,,,,,,,,建中社区社会捐助接收工作点,
,,,新安街道办事处安全生产委员会,,,,深圳市上南派出所,,,,,,,,,,,,,,,,,,,计算机行业协会微型笔记本电脑分会,
,,,新安街道办事处查处违法建筑办公室,,,,深圳市宝安区交警大队沙井中队,,,,,,,,,,,,,,,,,,,锦龙社区社区残疾人协会,
,,,西乡街道农村城市化历史遗留违法建筑信息普查工作办公室,,,,深圳市交警支队文锦渡车管所,,,,,,,,,,,,,,,,,,,锦龙社区社区残疾人协会,
,,,西乡街道清理整治无证无照非法经营工作队,,,,深圳市公安局交警支队罗湖大队,,,,,,,,,,,,,,,,,,,景田社区残疾人联合协会,
,,,新安街道环境保护管理所,,,,深圳市交通拯救中心,,,,,,,,,,,,,,,,,,,景田社区科学技术协会,
,,,西乡街道办事处,,,,深圳市公安局罗湖分局黄贝派出所,,,,,,,,,,,,,,,,,,,景田社区科学技术协会,
,,,西乡街道水务管理中心,,,,深圳市光明派出所,,,,,,,,,,,,,,,,,,,景田社区残疾人协会,
,,,西乡镇人民政府,,,,深圳市公安局南山分局,,,,,,,,,,,,,,,,,,,家装工程监管分会,
,,,新安街道农村城市化历史遗留违法建筑信息普查工作办公室,,,,深圳市公安局南山分局人口管理科户政大厅,,,,,,,,,,,,,,,,,,,家装工程监管分会,
,,,新安街道城市管理办公室,,,,深圳市公安局南山分局出入境办证大厅,,,,,,,,,,,,,,,,,,,甲子塘社区妇女工作委员会,
,,,西乡街道环境综合治理办公室,,,,深圳市东晓派出所,,,,,,,,,,,,,,,,,,,金弓制造厂计划生育协会,
,,,西乡街道城市管理行政执法队,,,,深圳市公安局宝安分局警务室(共乐路),,,,,,,,,,,,,,,,,,,九围社区妇女工作委员会,
,,,西乡计划生育办公室,,,,深圳市公安局公交分局光明公交派出所,,,,,,,,,,,,,,,,,,,九围社区妇女工作委员会,
,,,新安街道办事处,,,,深圳西车站派出所,,,,,,,,,,,,,,,,,,,君子布社区残疾人协会,
,,,粤海街道司法信访人民调解室,,,,深圳市油松派出所,,,,,,,,,,,,,,,,,,,景丽花园社区科协,
,,,盐田街道办事处,,,,深圳市公安局交警支队高速公路大队侦查中队,,,,,,,,,,,,,,,,,,,计算机行业协会微型笔记本电脑分会,
,,,粤海街道综治信访维稳中心,,,,深圳市公安局交警支队高速公路大队,,,,,,,,,,,,,,,,,,,建中社区残疾人协会,
,,,粤海街道司法信访人民调解室,,,,深圳市公安局交警支队高速公路大队侦查中队,,,,,,,,,,,,,,,,,,,锦龙社区社会捐助接收工作点(三九发展大厦东),
,,,粤海街道综治信访维稳中心,,,,深圳市公安局交警支队高速公路大队,,,,,,,,,,,,,,,,,,,金沙社区自治发展议事会,
,,,粤海街道司法信访人民调解室,,,,深圳市盐田区机动训练大队,,,,,,,,,,,,,,,,,,,景田社区老年人协会,
,,,盐田区房屋租赁管理办公室梅沙租赁所,,,,深圳市公安局福田特勤大队,,,,,,,,,,,,,,,,,,,嘉南社区妇女代表大会,
,,,粤海街道综治信访维稳中心,,,,深圳市公安局福田分局民警训练基地,,,,,,,,,,,,,,,,,,,金地社区工作站工会联合会,
,,,盐田街道办事处,,,,深圳市公安局沙头派出所沙头警区,,,,,,,,,,,,,,,,,,,康添塑胶五金制品厂工会委员会,
,,,招商街道综治信访维稳中心,,,,深圳市公安局福田分局天安派出所,,,,,,,,,,,,,,,,,,,葵新社区老年人协会,
,,,中共招商街道纪律检查工作委员会,,,,深圳市公安局罗湖公安分局出入境第二接待大厅,,,,,,,,,,,,,,,,,,,快美特汽车精品深圳有限公司计划生育协会,
,,,中共粤海街道纪律检查工作委员会,,,,深圳市六约派出所,,,,,,,,,,,,,,,,,,,科联深圳市扶贫办,
,,,中共南山区粤海街道工作委员会,,,,深圳市交警支队横岗中队,,,,,,,,,,,,,,,,,,,坑梓黄氏宗亲联谊会,
,,,中共桃源街道纪律检查工作委员会,,,,深圳市公安局招商派出所巡防大队,,,,,,,,,,,,,,,,,,,库坑居委会人口与计划生育委员会,
,,,中共南头街道民营经济委员会,,,,深圳市南山派出所,,,,,,,,,,,,,,,,,,,库坑社区老年人协会,
,,,中共南山区南头街道工作委员会,,,,深圳市公安局交警支队南山大队蛇口中队,,,,,,,,,,,,,,,,,,,康乐社区残疾人协会,
,,,中共沙河街道工作委员会,,,,深圳市公安局南山区分局预审大队,,,,,,,,,,,,,,,,,,,坑梓办事处征地拆迁事务中心女职工委员会,
,,,中共沙河街道民营经济委员会,,,,深圳市蛇口派出所,,,,,,,,,,,,,,,,,,,坑梓黄氏宗亲联谊会,
,,,中共沙河街道工作委员会,,,,深圳市公安局南山分局招商派出所,,,,,,,,,,,,,,,,,,,科联深圳市扶贫办,
,,,中共沙河街道民营经济委员会,,,,深圳市松岗派出所,,,,,,,,,,,,,,,,,,,坑梓街道沙田社区老年人协会,
,,,中共南山区南山街道工作委员会,,,,蛇口港公安局,,,,,,,,,,,,,,,,,,,龙岗区文联,
,,,中共南山街道民营经济委员会,,,,深圳市蛇口派出所,,,,,,,,,,,,,,,,,,,龙岗区中小企业联合协会筹备办公室,
,,,招商街道企业退休人员管理服务,,,,深圳市公安局刑侦支队,,,,,,,,,,,,,,,,,,,龙岗区总商会,
,,,中共南山区蛇口街道工作委员会,,,,深圳市公安局南山区分局预审大队,,,,,,,,,,,,,,,,,,,罗湖区原创书画协会,
,,,中共罗湖区翠竹街道工作委员会,,,,深圳市公安局沙头派出所沙头警区,,,,,,,,,,,,,,,,,,,龙岗南约标达电子厂工会委员会,
,,,中共罗湖区翠竹街道工作委员会,,,,沙头派出所(福沙路),,,,,,,,,,,,,,,,,,,龙岗街道办事处-归国华侨联合会,
,,,中共翠竹辖区四川广安流动党员支部委员会,,,,深圳市公安局交警支队福田大队,,,,,,,,,,,,,,,,,,,龙岗区人民代表大会常务委员会,
,,,中共黄贝街道纪律检查工作委员会,,,,四川省公安厅办理第二代居民身份证深圳代办服务处,,,,,,,,,,,,,,,,,,,乐普泰科技股份有限公司女职工委员会,
,,,中共桂园街道工作委员会,,,,深圳市公安局福田分局华强北派出所,,,,,,,,,,,,,,,,,,,乐普泰科技股份有限公司工会委员会,
,,,中共笋岗街道笋岗支部委员会,,,,深圳市公安局福田分局少数民族工作队,,,,,,,,,,,,,,,,,,,罗湖社区法律援助中心妇女维权分站,
,,,中共罗湖区东门街道工作委员会,,,,深圳市公安局福田分局园岭派出所,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会黄贝分会,
,,,中共南湖街道工作委员会,,,,深圳市公安局宝安区交警大队西乡中队,,,,,,,,,,,,,,,,,,,罗湖社区妇代会,
,,,中共东湖街道纪律检查工作委员会,,,,深圳市宝安公交派出所,,,,,,,,,,,,,,,,,,,罗湖区治安联防协会罗湖边检理事会,
,,,中共华富街道工作委员会,,,,深圳市公安局公交分局公交反扒三大队,,,,,,,,,,,,,,,,,,,罗湖社区关心下一代工作小组,
,,,中共华富街道纪律检查工作委员会,,,,蛇口港公安局,,,,,,,,,,,,,,,,,,,罗湖社区老年人协会,
,,,中共园岭街道纪律检查工作委员会,,,,深圳市蛇口派出所,,,,,,,,,,,,,,,,,,,罗湖区个体劳动协会南湖分会,
,,,中共华富街道民营经济委员会,,,,深圳市交警支队机场大队,,,,,,,,,,,,,,,,,,,罗湖社区计划生育协会,
,,,中共莲花街道纪律检查工作委员会,,,,深圳市公安局公交分局,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会,
,,,中共梅林街道民营经济委员会,,,,深圳市预审监管支队,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会东晓分会,
,,,中共华强北街道工作委员会,,,,深圳市公安局出入境管理处办证大厅,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会桂园分会,
,,,中共沙头街道工作委员会,,,,深圳市莲花派出所,,,,,,,,,,,,,,,,,,,罗湖区计划生育协会联合会会员之家,
,,,中共沙头街道民营经济委员会,,,,深圳市公安局盐田分局,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会清水河分会,
,,,中共沙头角出入境检验检疫局,,,,深圳市盐田区交警大队,,,,,,,,,,,,,,,,,,,罗湖区南湖商会,
,,,中共海山路街道再就业基地支部委员会,,,,深圳市公安局巡逻警察支队盐田大队,,,,,,,,,,,,,,,,,,,罗湖区湖贝社区老年人协会,
,,,中共沙头角口岸交通运输管理站,,,,沙头角派出所,,,,,,,,,,,,,,,,,,,罗湖区治安联防协会嘉北理事会,
,,,中共沙头角街道纪律检查工作委员会,,,,深圳市盐田区巡警大队,,,,,,,,,,,,,,,,,,,罗湖区妇联婚姻家庭服务中心,
,,,中共盐田区委沙头角街道工作委员会,,,,沙头角派出所(沙深路),,,,,,,,,,,,,,,,,,,罗湖区治安联防协会东晓社区理事会,
,,,中共龙城街道工作委员会,,,,深圳市公安局盐田分局综合办证业务中心,,,,,,,,,,,,,,,,,,,罗湖区质量技术协会,
,,,中共平湖街道工作委员会,,,,沙头角派出所(海涛路),,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会莲塘分会,
,,,中共吉坑居民小组支部委员会,,,,深圳市公安局盐田分局信访办公室,,,,,,,,,,,,,,,,,,,莲花一村社区科协,
,,,中共龙岗街道工作委员会,,,,深圳市公安局盐田分局综合办证大厅,,,,,,,,,,,,,,,,,,,莲花一村社区老年人协会,
,,,中共坪山工作委员会,,,,深圳市公安局南山分局招商派出所,,,,,,,,,,,,,,,,,,,莲花一村社区计生协,
,,,中共坪地街道工作委员会,,,,蛇口港交警大队,,,,,,,,,,,,,,,,,,,莲花二村社区莲花轩书画协会,
,,,中共横岗街道纪律检查工作委员会,,,,深圳市五湾港派出所,,,,,,,,,,,,,,,,,,,莲花三村社区老年人协会,
,,,中共横岗街道办城管支部,,,,深圳市公安局交警支队宝安大队大浪中队,,,,,,,,,,,,,,,,,,,联合厂商会技术咨询（深圳）有限公司,
,,,中共观澜街道纪律检查工作委员会,,,,深圳市公安局招商派出所巡防大队,,,,,,,,,,,,,,,,,,,莲花街道天健工业区流动人口计生协会,
,,,中共公明工作委员会,,,,深圳市公安局交警支队管理处松岗车管所,,,,,,,,,,,,,,,,,,,莲花街道办事处景田社区社区残疾人协会,
,,,中共松岗街道纪律检查工作委员会,,,,深圳市公安局交警支队南山大队,,,,,,,,,,,,,,,,,,,莲花北社区计划生育协会,
,,,中共宝安区大浪街道工作委员会,,,,深圳市公安局新城保安大队愉园中队,,,,,,,,,,,,,,,,,,,莲花二村社区老年人协会,
,,,中共大浪街道纪律检查工作委员会,,,,深圳市公安局交警局宝安大队北站中队,,,,,,,,,,,,,,,,,,,莲花二村社区计生协,
,,,中共民治工作委员会,,,,深圳市公安局福田分局少数民族工作队,,,,,,,,,,,,,,,,,,,零售商业协会,
,,,中共宝安区纪律检查委员会宝安区监察局派驻第六纪检监察组,,,,沙头派出所(福沙路),,,,,,,,,,,,,,,,,,,六联村维迪制品厂流动人口计划生育协会,
,,,中国供销合作社深圳宝安观澜供销合作社,,,,深圳市公安局宝安分局机动训练大队石岩中队,,,,,,,,,,,,,,,,,,,龙岗街道同乐社区计生协,
,,,中共龙华纪律检查工作委员会,,,,深圳市公安局上川派出所办证室,,,,,,,,,,,,,,,,,,,龙岗区老年人体育协会,
,,,中共福永街道工作委员会,,,,深圳市上川派出所,,,,,,,,,,,,,,,,,,,龙岗区个协劳动者协会新城办事处,
,,,中共沙井街道纪律检查工作委员会,,,,深圳市坪地派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会龙岗办事处,
,,,中共石岩街道纪律检查委员会,,,,深圳市公安局交警支队南山大队蛇口中队,,,,,,,,,,,,,,,,,,,龙岗区环境科学学会,
,,,中共新安街道纪律检查工作委员会,,,,深圳市笋岗派出所,,,,,,,,,,,,,,,,,,,龙岗区环境保护产业协会,
,,,中共新安街道工作委员会,,,,上林派出所治安亭,,,,,,,,,,,,,,,,,,,龙岗街道同乐社区居民委员会老人协会,
,,,中共西乡街道工作委员会,,,,深圳市公安局交警支队车辆管理处核发检验合格标志办证室,,,,,,,,,,,,,,,,,,,龙岗街道同乐社区计划生育协会,
,,,中共南山区蛇口街道工作委员会,,,,深圳市公安局刑侦支队,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会平湖办事处,
,,,招商街道企业退休人员管理服务,,,,深圳市公安局南山分局招商派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会平南分会,
,,,中共招商街道纪律检查工作委员会,,,,深圳市公安局交警支队车辆管理处坪山车管所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会,
,,,招商街道综治信访维稳中心,,,,沙头角派出所,,,,,,,,,,,,,,,,,,,龙岗区民营企业商会,
,,,中共笋岗街道笋岗支部委员会,,,,深圳市公安局盐田分局综合办证业务中心,,,,,,,,,,,,,,,,,,,龙岗南约宝华塑料厂工会委员会,
,,,招商街道关心下一代工作委员会,,,,深圳市公安局盐田分局信访办公室,,,,,,,,,,,,,,,,,,,龙岗区会计学会,
,,,中共南山区蛇口街道工作委员会,,,,蛇口港公安局,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会布吉办事处,
,,,中共沙河街道民营经济委员会,,,,上沙河派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会坪地分会,
,,,中共沙河街道工作委员会,,,,深圳市蛇口派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会横岗办事处,
,,,中共横岗街道办城管支部,,,,深圳市罗湖公交派出所,,,,,,,,,,,,,,,,,,,龙川会馆,
,,,中共石岩街道纪律检查委员会,,,,深圳市公安局龙岗分局水径派出所,,,,,,,,,,,,,,,,,,,龙井社区妇女维权工作站,
,,,中共新安街道纪律检查工作委员会,,,,深圳市梅林派出所,,,,,,,,,,,,,,,,,,,龙华街道三联社区妇女工作委员会,
,,,中共南山区南头街道工作委员会,,,,深圳市预审监管支队,,,,,,,,,,,,,,,,,,,龙井社区妇女工作委员会,
,,,中共南头街道民营经济委员会,,,,深圳市公安局出入境管理处办证大厅,,,,,,,,,,,,,,,,,,,龙园社区工作站会员之家计划生育协会,
,,,中共龙城街道工作委员会,,,,深圳市公安局新乐保安大队新鸿中队,,,,,,,,,,,,,,,,,,,龙华街道景龙社区工会联合会,
,,,中共横岗街道纪律检查工作委员会,,,,深圳市宝安区交警大队宝城中队,,,,,,,,,,,,,,,,,,,荔园诗社,
,,,中共翠竹辖区四川广安流动党员支部委员会,,,,深圳市宝安区人民检察院司法警察大队,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会横岗办事处,
,,,中共松岗街道纪律检查工作委员会,,,,深圳市翠竹派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会横岗办事处,
,,,中共南山区粤海街道工作委员会,,,,深圳市公安局经济犯罪侦查局,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会东晓分会,
,,,中共粤海街道纪律检查工作委员会,,,,深圳市民治派出所,,,,,,,,,,,,,,,,,,,莲花二村社区残疾人协会,
,,,中共园岭街道工作委员会,,,,深圳市公安局治安巡警支队,,,,,,,,,,,,,,,,,,,莲花二村社区计生协,
,,,中共布吉街道工作委员会,,,,深圳市公安局保安总队,,,,,,,,,,,,,,,,,,,莲花一村社区残疾人联合协会,
,,,中共梅林街道民营经济委员会,,,,深圳市南头派出所,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会莲塘分会,
,,,中共大浪街道纪律检查工作委员会,,,,深圳市公安局龙岗分局信访办,,,,,,,,,,,,,,,,,,,莲花二村社区科协,
,,,中共宝安区大浪街道工作委员会,,,,深圳市龙岗区公安分局综合服务厅,,,,,,,,,,,,,,,,,,,莲花二村社区计生协,
,,,中共桃源街道纪律检查工作委员会,,,,深圳市公安局龙岗分局出入境接待大厅,,,,,,,,,,,,,,,,,,,莲花一村社区科协,
,,,中共桃源街道民营经济委员会,,,,深圳市公安局龙岗区分局,,,,,,,,,,,,,,,,,,,莲花一村社区老年人协会,
,,,中共南山区桃源街道工作委员会,,,,深圳市公安局公交分局南山公交派出所,,,,,,,,,,,,,,,,,,,莲花三村社区老年人协会,
,,,中共黄贝街道纪律检查工作委员会,,,,深圳市招商派出所治安联防大队,,,,,,,,,,,,,,,,,,,莲花二村社区莲花轩书画协会,
,,,中共南山区粤海街道工作委员会,,,,深圳市公安局交警支队福田大队,,,,,,,,,,,,,,,,,,,莲花一村社区计生协,
,,,中共粤海街道纪律检查工作委员会,,,,深圳市福田区交警大队,,,,,,,,,,,,,,,,,,,莲花二村社区老年人协会,
,,,中共盐田区委沙头角街道工作委员会,,,,四川省公安厅办理第二代居民身份证深圳代办服务处,,,,,,,,,,,,,,,,,,,龙岗区老年人体育协会,
,,,中共沙头角街道纪律检查工作委员会,,,,深圳市公安局坪山分局,,,,,,,,,,,,,,,,,,,罗湖区义务工作者联合会,
,,,中共海山路街道再就业基地支部委员会,,,,深圳市公安局坪山分局综合办证大厅,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会桂园分会,
,,,中共沙头角出入境检验检疫局,,,,深圳市公安局公交分局公交反扒三大队,,,,,,,,,,,,,,,,,,,罗湖区计划生育协会联合会会员之家,
,,,中共莲花街道工作委员会,,,,深圳市公安局交警支队交通监控大队,,,,,,,,,,,,,,,,,,,龙岗江西省鄱阳同乡会,
,,,中共大浪街道纪律检查工作委员会,,,,深圳市公安局罗湖公安分局出入境第二接待大厅,,,,,,,,,,,,,,,,,,,龙岗街道办事处归国华侨联合会,
,,,中共宝安区大浪街道工作委员会,,,,深圳市福民派出所,,,,,,,,,,,,,,,,,,,罗湖区计划生育协会联合会会员之家,
,,,中共西乡街道工作委员会,,,,深圳市公安局南山分局巡警大队八中队,,,,,,,,,,,,,,,,,,,龙岗区环境保护产业协会,
,,,中共坪地街道民营经济委员会,,,,深圳市公安局高新保安大队麻岭中队,,,,,,,,,,,,,,,,,,,龙城街道美丽达花园工会联合会,
,,,中共坪地街道工作委员会,,,,深圳市龙新派出所,,,,,,,,,,,,,,,,,,,龙岗区大鹏街道鹏城社区工作站,
,,,中共宝安区纪律检查委员会宝安区监察局派驻第六纪检监察组,,,,深圳市公安局交警支队龙岗大队事故处理中队,,,,,,,,,,,,,,,,,,,罗湖区个体劳动者协会清水河分会,
,,,中共观澜街道纪律检查工作委员会,,,,深圳市交警支队机场大队,,,,,,,,,,,,,,,,,,,龙岗区会计学会,
,,,中共松岗街道纪律检查工作委员会,,,,深圳市公安局光明分局玉塘派出所,,,,,,,,,,,,,,,,,,,龙岗区老年人体育协会,
,,,中共南湖街道工作委员会,,,,深圳市车管所,,,,,,,,,,,,,,,,,,,罗湖区南湖商会,
,,,中共沙井街道纪律检查工作委员会,,,,深圳市公安局南山分局桃源派出所,,,,,,,,,,,,,,,,,,,罗湖区治安联防协会嘉北理事会,
,,,中共园岭街道工作委员会,,,,深圳市公安局福田分局八卦岭派出所,,,,,,,,,,,,,,,,,,,罗湖区个体劳动协会南湖分会,
,,,中国供销合作社深圳宝安观澜供销合作社,,,,深圳市公安局桂园派出所户政室,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会龙岗办事处,
,,,中共梅林街道民营经济委员会,,,,深圳市公安局福田分局网警大队,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会六约分会,
,,,中共坪山工作委员会,,,,深圳市公安局福田应急大队,,,,,,,,,,,,,,,,,,,龙岗区体育舞蹈总会,
,,,中共龙岗街道工作委员会,,,,深圳市沙井派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会布吉办事处,
,,,中共龙华工作委员会,,,,深圳市公安局福田分局福保派出所,,,,,,,,,,,,,,,,,,,龙岗区人力资源协会,
,,,中共委海山街道工作委员会,,,,深圳市客运派出所,,,,,,,,,,,,,,,,,,,龙岗街道宝龙社区工会联合会,
,,,中共书院街居民支部委员会,,,,深圳市公安局罗湖分局清水河派出所,,,,,,,,,,,,,,,,,,,六联村维迪制品厂流动人口计划生育协会,
,,,中共吉坑居民小组支部委员会,,,,深圳市公安局机场分局,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会平南分会,
,,,中共吉坑居民小组支部委员会,,,,深圳市莲花派出所,,,,,,,,,,,,,,,,,,,龙岗街道同乐社区居委会老人协会,
,,,中共龙岗街道民营经济委员会,,,,深圳市交警支队车管所,,,,,,,,,,,,,,,,,,,龙岗街道同乐社区计划生育协会,
,,,中共南澳街道办事处信访办,,,,深圳市宝安区交通稽查大队,,,,,,,,,,,,,,,,,,,莲花二村社区残疾人活动室,
,,,中共沙头角口岸交通运输管理站,,,,深圳市公安局交警支队龙岗大队坪地中队,,,,,,,,,,,,,,,,,,,流塘社区老年人协会,
,,,中共梅沙街道工作委员会(上成路),,,,深圳市公安局福田分局华强北派出所,,,,,,,,,,,,,,,,,,,罗湖区消费者委员会南湖监督站,
,,,中共东湖街道纪律检查工作委员会,,,,深圳市公安局龙岗分局机动战训大队,,,,,,,,,,,,,,,,,,,罗湖区社会捐助接收管理服务中心,
,,,中共公明工作委员会,,,,深圳市龙岗巡警大队,,,,,,,,,,,,,,,,,,,罗湖区消费者委员会南湖监督站,
,,,中共粤海街道大冲总支部委员会,,,,深圳市公安局宝安区交警大队西乡中队,,,,,,,,,,,,,,,,,,,罗湖区南湖街道归国华侨联合会,
,,,中共南山街道民营经济委员会,,,,深圳市莲塘派出所,,,,,,,,,,,,,,,,,,,罗湖区南湖街道归国华侨联合会,
,,,招商街道关心下一代工作委员会,,,,深圳市石岩派出所,,,,,,,,,,,,,,,,,,,罗湖区消费者委员会东湖监督站,
,,,中共桃源街道民营经济委员会,,,,深圳市官田派出所,,,,,,,,,,,,,,,,,,,罗湖区消费者委员会东湖监督站,
,,,中共南山区桃源街道工作委员会,,,,深圳市公安局人口管理处,,,,,,,,,,,,,,,,,,,罗湖区文联,
,,,中共南山区南山街道工作委员会,,,,深圳市公安局综合办证服务中心,,,,,,,,,,,,,,,,,,,莲花北社区残疾人联合会,
,,,中共粤海街道大冲总支部委员会,,,,深圳市南湖派出所,,,,,,,,,,,,,,,,,,,莲花北社区残疾人联合会,
,,,中共罗湖区笋岗街道工作委员会,,,,深圳市公安局公交分局龙岗公交派出所,,,,,,,,,,,,,,,,,,,六约社区残疾人协会,
,,,中共观澜街道新经济组织和新社会组织委员会,,,,深圳市公安局交警支队龙岗大队龙城中队,,,,,,,,,,,,,,,,,,,六约社区残疾人协会,
,,,中共福永街道工作委员会,,,,深圳市镇南派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会龙城办事处,
,,,中共坪地街道民营经济委员会,,,,深圳市公安局龙岗分局罗岗派出所,,,,,,,,,,,,,,,,,,,龙岗区消费者委员会坂田消费者监督站,
,,,中共盐田区纪委沙头角街道工作委员会,,,,深圳市广深铁路公安处,,,,,,,,,,,,,,,,,,,龙岗区消费者委员会坑梓消费者监督站,
,,,招商街道关心下一代工作委员会,,,,深圳市宝民派出所,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会坂田分会,
,,,中共平湖街道工作委员会,,,,深圳市宝安区巡警大队,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会坑梓分会,
,,,中共龙岗街道民营经济委员会,,,,深圳市公安局宝安分局网络警察大队,,,,,,,,,,,,,,,,,,,龙岗区消费者委员会龙城消费者监督站,
,,,中共布吉街道工作委员会,,,,深圳市公安局巡逻警察支队宝安大队,,,,,,,,,,,,,,,,,,,龙岗区个体劳动者协会坑梓分会,
,,,中共盐田区纪委沙头角街道工作委员会,,,,深圳市公安局公交分局治安反扒大队宝安中队,,,,,,,,,,,,,,,,,,,龙岗区消费者委员会坑梓消费者监督站,
